Timestamp,Which year are you in?,How are you feeling right now?,"On a scale of 1-100, how would you express this feeling?",Gender,Age,Your location ?,Relationship status,Are you happy with your financial state?,How much have you succeeded to cope up with the environment of your educational institution?,Understanding with your family members?,Are you feeling pressure in your study or work right now?,Are you satisfied with your academic result?,Are you happy with your living place?,Who supports you when you are not succeeding in your academic life?,Have you used any social media within the last 6 hours?,Do you have inferiority complex? ,Are you satisfied with your meal today?,Are you feeling sick/health issues today?,"Have you done any recreational activity (sports, gaming, hobby etc.) today?",How long did you sleep last night?(in hours)
,4th year,Bad,27,Male,23,Department,Single,No,3,Bad,Yes,No,No,Friends,Yes,No,No,No,Yes,6
,4th year,Very good,95,Male,23,Department,Single,Yes,4,Normal,No,No,Yes,Family,Yes,No,Yes,No,No,8
,4th year,Very bad,14,Male,23,Department,Single,Yes,3,Good,Yes,No,No,Friends,Yes,No,Neutral,No,No,4
,4th year,Very bad,8,Male,23,Department,Single,No,2,Good,Yes,Yes,Yes,Family,Yes,Yes,No,No,No,6
,4th year,Normal,57,Male,23,Home,Single,No,5,Normal,No,Yes,No,Friends,Yes,Maybe,Yes,No,No,7
,4th year,Good,74,Male,23,Home,Single,Yes,3,Normal,No,Yes,Yes,Friends,Yes,No,Neutral,No,Yes,10
,4th year,Normal,55,Male,23,Playground,Single,No,4,Good,Yes,No,No,Friends,Yes,No,Neutral,No,Yes,8
,4th year,Very good,93,Male,23,Home,Single,Yes,4,Normal,No,No,Yes,Friends,Yes,No,Neutral,No,Yes,9
,4th year,Very good,94,Male,23,Home,Single,Yes,3,Good,No,No,Yes,Friends,Yes,No,Neutral,No,No,8
,4th year,Bad,23,Male,23,Playground,Single,No,2,Bad,Yes,Yes,Yes,Friends,Yes,No,Yes,Yes,No,7
,4th year,Very good,95,Male,23,Playground,Single,Yes,4,Good,No,Yes,Yes,Family,Yes,No,Yes,No,Yes,8
,4th year,Very good,93,Male,23,Department,Single,Yes,5,Normal,No,Yes,Yes,Friends,Yes,No,Neutral,No,Yes,10
,4th year,Good,81,Male,23,Department,Single,Yes,3,Normal,No,No,Yes,Friends,Yes,No,Yes,No,Yes,7
,4th year,Good,73,Male,23,Department,Single,Yes,5,Good,No,No,Yes,Friends,Yes,No,Yes,No,Yes,7
,4th year,Normal,56,Male,23,Hall-Mess,Single,No,4,Good,No,Yes,Yes,Family,Yes,Maybe,Yes,Yes,No,6
,4th year,Very good,94,Male,23,Department,Single,Yes,5,Good,No,No,Yes,Friends,Yes,No,Neutral,No,Yes,9
,4th year,Normal,63,Male,23,Hall-Mess,Single,Yes,4,Normal,No,No,No,Friends,Yes,Maybe,Yes,Yes,Yes,6
,4th year,Bad,43,Male,23,Home,Single,Yes,3,Good,Yes,Yes,Yes,Friends,Yes,Maybe,Yes,Yes,Yes,5
,4th year,Bad,41,Male,23,Hall-Mess,Single,Yes,1,Normal,Yes,No,No,Family,Yes,No,No,Yes,Yes,7
,4th year,Good,89,Male,23,Playground,Single,Yes,4,Good,No,No,Yes,Friends,Yes,No,Neutral,No,No,8
,4th year,Very good,93,Male,23,Department,Single,Yes,3,Normal,No,Yes,Yes,Family,Yes,No,Yes,No,Yes,10
,4th year,Normal,60,Male,23,Home,Single,Yes,3,Normal,No,No,No,Family,Yes,Maybe,Neutral,Yes,No,7
,4th year,Very bad,3,Male,23,Department,Single,Yes,1,Good,Yes,Yes,Yes,Family,Yes,Maybe,Yes,No,Yes,4
,4th year,Normal,51,Male,23,Department,Single,Yes,4,Good,No,Yes,No,Family,Yes,Maybe,Yes,Yes,Yes,8
,4th year,Normal,60,Male,23,Playground,Single,No,3,Normal,No,Yes,Yes,Friends,Yes,No,Neutral,Yes,Yes,6
,4th year,Bad,20,Male,23,Playground,Single,Yes,3,Bad,Yes,Yes,Yes,Friends,Yes,No,Yes,Yes,Yes,3
,4th year,Bad,31,Male,23,Home,Single,No,2,Bad,Yes,No,No,Friends,Yes,No,No,Yes,Yes,5
,4th year,Very good,95,Male,23,Department,Single,Yes,4,Good,No,No,Yes,Friends,Yes,No,Yes,No,No,9
,4th year,Bad,44,Male,23,Department,Single,No,2,Bad,Yes,No,No,Family,Yes,Maybe,Neutral,No,No,5
,4th year,Normal,54,Male,23,Playground,Single,Yes,3,Good,Yes,No,Yes,Family,Yes,Maybe,Neutral,Yes,No,6
,4th year,Good,74,Male,23,Playground,Single,Yes,3,Good,No,Yes,Yes,Family,Yes,No,Neutral,No,No,7
,4th year,Good,84,Male,23,Hall-Mess,Single,Yes,5,Good,No,Yes,Yes,Family,Yes,No,Yes,No,Yes,9
,4th year,Very bad,19,Male,23,Department,Single,Yes,3,Normal,Yes,Yes,Yes,Friends,Yes,Maybe,Yes,No,No,4
,4th year,Normal,51,Male,23,Hall-Mess,Single,No,4,Good,Yes,No,No,Friends,Yes,Maybe,Yes,Yes,Yes,6
,4th year,Normal,58,Male,23,Hall-Mess,Single,Yes,4,Good,Yes,No,Yes,Family,Yes,Maybe,Yes,Yes,No,6
,4th year,Normal,63,Male,23,Home,Single,Yes,3,Good,No,No,Yes,Friends,Yes,Maybe,Yes,No,No,7
,4th year,Normal,60,Male,23,Home,Single,No,5,Normal,No,No,No,Friends,Yes,No,Neutral,Yes,Yes,8
,4th year,Bad,37,Male,23,Department,Single,No,2,Good,Yes,Yes,Yes,Friends,Yes,Yes,No,No,No,3
,4th year,Very bad,2,Male,23,Hall-Mess,Single,Yes,3,Good,Yes,Yes,Yes,Friends,Yes,Yes,Yes,No,No,3
,4th year,Good,76,Male,23,Hall-Mess,Single,Yes,4,Normal,No,Yes,Yes,Family,Yes,No,Yes,No,No,7
,4th year,Good,88,Male,23,Department,Single,Yes,3,Normal,No,Yes,Yes,Family,Yes,No,Yes,No,No,10
,4th year,Normal,50,Male,23,Home,Single,Yes,3,Normal,Yes,Yes,No,Family,Yes,No,Neutral,Yes,No,7
,4th year,Very good,93,Male,23,Home,Single,Yes,4,Normal,No,No,Yes,Friends,Yes,No,Yes,No,Yes,7
,4th year,Very bad,2,Male,23,Department,Single,Yes,3,Bad,Yes,Yes,No,Friends,Yes,No,No,Yes,No,6
,4th year,Bad,26,Male,23,Playground,Single,No,1,Normal,Yes,No,No,Friends,Yes,No,No,No,No,7
,4th year,Good,71,Male,23,Playground,Single,Yes,3,Good,No,No,Yes,Friends,Yes,No,Yes,No,No,8
,4th year,Very bad,11,Male,23,Playground,Single,No,3,Good,Yes,No,Yes,Family,Yes,Maybe,Yes,No,Yes,4
,4th year,Bad,47,Male,23,Department,Single,No,1,Normal,Yes,No,No,Family,Yes,Maybe,No,No,No,5
,4th year,Good,74,Male,23,Home,Single,Yes,5,Normal,No,No,Yes,Friends,Yes,No,Yes,No,Yes,9
,4th year,Very good,91,Male,23,Department,Single,Yes,4,Normal,No,No,Yes,Friends,Yes,No,Neutral,No,No,9
,4th year,Very bad,9,Male,23,Playground,Single,No,2,Bad,Yes,No,No,Friends,Yes,Maybe,Neutral,No,Yes,6
,4th year,Normal,51,Male,23,Hall-Mess,Single,No,5,Normal,No,Yes,Yes,Friends,Yes,No,Neutral,No,Yes,8
,4th year,Very good,93,Male,23,Hall-Mess,Single,Yes,5,Normal,No,Yes,Yes,Family,Yes,No,Yes,No,No,9
,4th year,Very bad,15,Male,23,Home,Single,Yes,1,Bad,Yes,No,No,Family,Yes,Maybe,No,Yes,Yes,3
,4th year,Normal,61,Male,23,Home,Single,No,3,Good,No,No,Yes,Friends,Yes,No,Yes,No,No,7
,4th year,Good,76,Male,23,Hall-Mess,Single,Yes,5,Good,No,Yes,Yes,Friends,Yes,No,Neutral,No,Yes,8
,4th year,Very bad,12,Male,23,Department,Single,No,3,Bad,Yes,No,No,Family,Yes,Yes,Yes,No,No,7
,4th year,Good,80,Male,23,Hall-Mess,Single,Yes,5,Good,No,Yes,Yes,Friends,Yes,No,Yes,No,No,8
,4th year,Very bad,1,Male,23,Hall-Mess,Single,No,3,Good,Yes,No,No,Friends,Yes,Maybe,Neutral,Yes,No,4
,4th year,Very good,97,Male,23,Home,Single,Yes,3,Normal,No,Yes,Yes,Friends,Yes,No,Neutral,No,No,7
,4th year,Bad,21,Male,23,Hall-Mess,Single,Yes,2,Good,Yes,No,No,Friends,Yes,No,Neutral,No,No,3
,4th year,Normal,63,Male,23,Department,Single,No,5,Normal,Yes,Yes,Yes,Family,Yes,Maybe,Neutral,Yes,Yes,8
,4th year,Very bad,11,Male,23,Department,Single,Yes,3,Bad,Yes,No,No,Family,Yes,Yes,Yes,No,Yes,4
,4th year,Very bad,16,Male,23,Playground,Single,No,3,Normal,Yes,No,Yes,Friends,Yes,Yes,Yes,Yes,Yes,5
,4th year,Very good,91,Male,23,Home,Single,Yes,4,Good,No,Yes,Yes,Friends,Yes,No,Neutral,No,No,8
,4th year,Normal,51,Male,23,Hall-Mess,Single,Yes,3,Normal,No,No,Yes,Family,Yes,Maybe,Yes,No,Yes,7
,4th year,Normal,53,Male,23,Playground,Single,No,4,Normal,No,No,No,Family,Yes,Maybe,Yes,No,Yes,8
,4th year,Good,80,Male,23,Hall-Mess,Single,Yes,4,Good,No,No,Yes,Family,Yes,No,Neutral,No,Yes,8
,4th year,Bad,45,Male,23,Department,Single,No,3,Bad,Yes,No,Yes,Family,Yes,No,Neutral,No,No,4
,4th year,Normal,68,Male,23,Department,Single,Yes,4,Good,Yes,No,Yes,Family,Yes,Maybe,Yes,No,Yes,6
,4th year,Normal,58,Male,23,Hall-Mess,Single,Yes,4,Good,No,Yes,No,Family,Yes,Maybe,Neutral,Yes,No,6
,4th year,Good,80,Male,23,Hall-Mess,Single,Yes,5,Normal,No,No,Yes,Family,Yes,No,Neutral,No,No,10
,4th year,Normal,58,Male,23,Playground,Single,Yes,4,Normal,No,No,No,Family,Yes,No,Yes,No,No,6
,4th year,Good,81,Male,23,Playground,Single,Yes,4,Good,No,No,Yes,Friends,Yes,No,Yes,No,No,7
,4th year,Very good,94,Male,23,Hall-Mess,Single,Yes,5,Normal,No,No,Yes,Family,Yes,No,Yes,No,No,7
,4th year,Very good,95,Male,23,Playground,Single,Yes,3,Normal,No,Yes,Yes,Friends,Yes,No,Neutral,No,Yes,9
,4th year,Very bad,15,Male,23,Department,Single,Yes,1,Normal,Yes,No,No,Family,Yes,No,Neutral,No,Yes,3
,4th year,Good,85,Male,23,Playground,Single,Yes,3,Normal,No,No,Yes,Family,Yes,No,Yes,No,No,8
,4th year,Very good,91,Male,23,Playground,Single,Yes,3,Good,No,No,Yes,Friends,Yes,No,Neutral,No,Yes,8
,4th year,Normal,51,Male,23,Playground,Single,No,5,Good,Yes,No,No,Friends,Yes,Maybe,Yes,Yes,No,8
,4th year,Very good,98,Male,23,Home,Single,Yes,3,Normal,No,No,Yes,Friends,Yes,No,Yes,No,Yes,7
,4th year,Good,75,Male,23,Hall-Mess,Single,Yes,5,Normal,No,No,Yes,Friends,Yes,No,Neutral,No,No,10
,4th year,Good,82,Male,23,Department,Single,Yes,3,Normal,No,Yes,Yes,Friends,Yes,No,Yes,No,No,8
,4th year,Very good,92,Male,23,Playground,Single,Yes,4,Good,No,Yes,Yes,Friends,Yes,No,Neutral,No,Yes,7
,4th year,Bad,30,Male,23,Home,Single,No,1,Normal,Yes,No,Yes,Friends,Yes,Maybe,Neutral,Yes,Yes,5
,4th year,Normal,58,Male,23,Playground,Single,Yes,4,Good,No,No,Yes,Friends,Yes,Maybe,Neutral,Yes,No,7
,4th year,Good,84,Male,23,Department,Single,Yes,5,Good,No,No,Yes,Friends,Yes,No,Yes,No,No,8
,4th year,Bad,24,Male,23,Home,Single,No,1,Bad,Yes,No,Yes,Family,Yes,Maybe,Yes,No,No,7
,4th year,Good,80,Male,23,Playground,Single,Yes,4,Normal,No,No,Yes,Family,Yes,No,Neutral,No,Yes,8
,4th year,Normal,70,Male,23,Hall-Mess,Single,No,4,Normal,Yes,Yes,Yes,Family,Yes,Maybe,Yes,No,No,6
,4th year,Very good,98,Male,23,Hall-Mess,Single,Yes,3,Normal,No,Yes,Yes,Friends,Yes,No,Yes,No,Yes,7
,4th year,Very good,93,Male,23,Hall-Mess,Single,Yes,3,Good,No,Yes,Yes,Family,Yes,No,Yes,No,No,10
,4th year,Normal,64,Male,23,Home,Single,Yes,3,Good,No,Yes,Yes,Family,Yes,Maybe,Neutral,Yes,Yes,8
,4th year,Very good,94,Male,23,Home,Single,Yes,5,Good,No,No,Yes,Friends,Yes,No,Neutral,No,Yes,9
,4th year,Very bad,19,Male,23,Department,Single,Yes,2,Good,Yes,Yes,No,Friends,Yes,No,No,Yes,Yes,7
,4th year,Normal,56,Male,23,Home,Single,No,5,Good,Yes,No,No,Friends,Yes,Maybe,Yes,Yes,Yes,8
,4th year,Very good,99,Male,23,Department,Single,Yes,4,Good,No,No,Yes,Friends,Yes,No,Yes,No,Yes,8
,4th year,Normal,59,Male,23,Hall-Mess,Single,No,4,Normal,Yes,Yes,Yes,Friends,Yes,Maybe,Yes,No,No,7
,4th year,Very bad,12,Male,23,Playground,Single,No,3,Normal,Yes,No,No,Family,Yes,Maybe,Yes,No,No,6
,4th year,Normal,66,Male,23,Playground,Single,Yes,5,Good,Yes,No,Yes,Family,Yes,Maybe,Neutral,Yes,No,8
,4th year,Very good,99,Male,23,Department,Single,Yes,3,Normal,No,No,Yes,Family,Yes,No,Neutral,No,Yes,7
,4th year,Normal,55,Male,23,Home,Single,No,3,Good,No,No,Yes,Friends,Yes,Maybe,Yes,No,Yes,6
,4th year,Bad,32,Male,23,Department,Single,Yes,1,Bad,Yes,Yes,No,Friends,Yes,Maybe,No,Yes,No,3
,4th year,Good,70,Male,23,Playground,Single,Yes,3,Good,No,No,Yes,Family,Yes,No,Neutral,No,Yes,7
,4th year,Normal,66,Male,23,Hall-Mess,Single,No,4,Normal,Yes,No,Yes,Friends,Yes,No,Neutral,No,Yes,8
,4th year,Good,75,Male,23,Hall-Mess,Single,Yes,5,Normal,No,Yes,Yes,Friends,Yes,No,Neutral,No,Yes,8
,4th year,Good,87,Male,23,Home,Single,Yes,4,Normal,No,No,Yes,Friends,Yes,No,Yes,No,Yes,7
,4th year,Good,76,Male,23,Home,Single,Yes,3,Normal,No,No,Yes,Friends,Yes,No,Neutral,No,No,7
,4th year,Bad,47,Male,23,Department,Single,Yes,3,Bad,Yes,Yes,Yes,Family,Yes,Maybe,Neutral,Yes,No,5
,4th year,Bad,27,Male,23,Playground,Single,No,2,Normal,Yes,No,No,Friends,Yes,No,Yes,No,Yes,6
,4th year,Very good,94,Male,23,Department,Single,Yes,5,Good,No,No,Yes,Family,Yes,No,Neutral,No,No,8
,4th year,Very bad,7,Male,23,Home,Single,Yes,1,Good,Yes,Yes,No,Family,Yes,No,Yes,Yes,Yes,5
,4th year,Bad,41,Male,23,Hall-Mess,Single,No,3,Good,Yes,No,No,Friends,Yes,Yes,Neutral,Yes,No,4
,4th year,Bad,24,Male,23,Playground,Single,No,2,Bad,Yes,Yes,No,Friends,Yes,Maybe,Neutral,No,Yes,6
,4th year,Good,80,Male,23,Department,Single,Yes,4,Good,No,No,Yes,Family,Yes,No,Neutral,No,Yes,8
,4th year,Bad,38,Male,23,Playground,Single,Yes,2,Bad,Yes,No,No,Family,Yes,No,No,Yes,No,6
,4th year,Very good,97,Male,23,Department,Single,Yes,3,Good,No,Yes,Yes,Friends,Yes,No,Neutral,No,No,8
,4th year,Very good,90,Male,23,Hall-Mess,Single,Yes,4,Good,No,Yes,Yes,Friends,Yes,No,Yes,No,Yes,7
,4th year,Normal,63,Male,23,Playground,Single,No,5,Normal,Yes,Yes,No,Friends,Yes,Maybe,Neutral,No,No,6
,4th year,Normal,58,Male,23,Playground,Single,Yes,5,Normal,Yes,No,No,Family,Yes,No,Neutral,No,No,7
,4th year,Normal,58,Male,23,Playground,Single,Yes,4,Normal,Yes,No,Yes,Friends,Yes,Maybe,Yes,Yes,No,7
,4th year,Very good,94,Male,23,Home,Single,Yes,3,Good,No,No,Yes,Friends,Yes,No,Yes,No,Yes,7
,4th year,Normal,62,Male,23,Home,Single,Yes,4,Good,Yes,No,No,Family,Yes,Maybe,Neutral,No,No,7
,4th year,Normal,61,Male,23,Playground,Single,No,3,Normal,Yes,Yes,Yes,Friends,Yes,Maybe,Yes,No,Yes,7
,4th year,Normal,67,Male,23,Department,Single,No,4,Good,No,No,No,Family,Yes,Maybe,Neutral,No,No,7
,4th year,Very good,92,Male,23,Playground,Single,Yes,4,Good,No,Yes,Yes,Family,Yes,No,Yes,No,No,9
,4th year,Good,75,Male,23,Home,Single,Yes,3,Normal,No,Yes,Yes,Friends,Yes,No,Yes,No,Yes,7
,4th year,Good,82,Male,23,Home,Single,Yes,4,Normal,No,No,Yes,Friends,Yes,No,Yes,No,Yes,10
,4th year,Normal,54,Male,23,Home,Single,No,3,Normal,No,Yes,No,Family,Yes,Maybe,Yes,No,Yes,6
,4th year,Very bad,8,Male,23,Playground,Single,No,3,Bad,Yes,Yes,Yes,Friends,Yes,Maybe,Neutral,No,Yes,7
,4th year,Very good,99,Male,23,Department,Single,Yes,3,Normal,No,No,Yes,Family,Yes,No,Neutral,No,No,8
,4th year,Very good,95,Male,23,Home,Single,Yes,5,Good,No,Yes,Yes,Friends,Yes,No,Neutral,No,Yes,10
,4th year,Good,81,Male,23,Department,Single,Yes,3,Normal,No,No,Yes,Family,Yes,No,Neutral,No,No,8
,4th year,Normal,60,Male,23,Home,Single,Yes,5,Good,Yes,Yes,No,Family,Yes,Maybe,Yes,Yes,No,7
,4th year,Very good,97,Male,23,Department,Single,Yes,5,Good,No,Yes,Yes,Family,Yes,No,Neutral,No,No,8
,4th year,Bad,37,Male,23,Home,Single,No,2,Normal,Yes,No,Yes,Family,Yes,No,Neutral,Yes,No,5
,4th year,Normal,62,Male,23,Playground,Single,Yes,5,Good,Yes,Yes,Yes,Family,Yes,No,Yes,No,No,7
,4th year,Normal,58,Male,23,Hall-Mess,Single,No,5,Normal,Yes,No,No,Family,Yes,No,Yes,Yes,Yes,8
,4th year,Normal,55,Male,23,Department,Single,No,5,Normal,No,Yes,No,Family,Yes,Maybe,Yes,Yes,No,7
,4th year,Good,81,Male,23,Playground,Single,Yes,3,Normal,No,Yes,Yes,Family,Yes,No,Neutral,No,No,7
,4th year,Normal,63,Male,23,Home,Single,No,3,Good,Yes,No,No,Family,Yes,No,Neutral,No,Yes,8
,4th year,Normal,52,Male,23,Playground,Single,Yes,5,Normal,No,Yes,No,Friends,Yes,No,Yes,Yes,Yes,6
,4th year,Normal,51,Male,23,Department,Single,Yes,5,Good,Yes,Yes,No,Family,Yes,No,Yes,Yes,No,8
,4th year,Normal,65,Male,23,Home,Single,Yes,4,Good,Yes,Yes,No,Family,Yes,No,Neutral,No,No,8
,4th year,Good,71,Male,23,Hall-Mess,Single,Yes,5,Normal,No,No,Yes,Family,Yes,No,Yes,No,Yes,9
,4th year,Very good,92,Male,23,Department,Single,Yes,3,Normal,No,No,Yes,Family,Yes,No,Neutral,No,No,7
,4th year,Very good,90,Male,23,Home,Single,Yes,5,Normal,No,Yes,Yes,Family,Yes,No,Neutral,No,Yes,8
,4th year,Bad,28,Male,23,Department,Single,Yes,3,Bad,Yes,No,No,Family,Yes,No,No,No,Yes,3
,4th year,Very bad,6,Male,23,Department,Single,No,2,Bad,Yes,No,No,Family,Yes,Maybe,No,Yes,Yes,6
,4th year,Good,88,Male,23,Hall-Mess,Single,Yes,5,Good,No,No,Yes,Family,Yes,No,Neutral,No,No,7
,4th year,Very good,96,Male,23,Hall-Mess,Single,Yes,5,Good,No,Yes,Yes,Family,Yes,No,Neutral,No,Yes,10
,4th year,Normal,64,Male,23,Department,Single,Yes,4,Good,Yes,Yes,Yes,Friends,Yes,No,Neutral,Yes,Yes,6
,4th year,Bad,20,Male,23,Department,Single,No,2,Good,Yes,No,No,Friends,Yes,No,Yes,No,Yes,3
,4th year,Bad,35,Male,23,Home,Single,No,2,Normal,Yes,Yes,No,Friends,Yes,Maybe,No,No,Yes,7
,4th year,Very good,90,Male,23,Home,Single,Yes,5,Good,No,No,Yes,Friends,Yes,No,Yes,No,No,10
,4th year,Normal,63,Male,23,Hall-Mess,Single,Yes,5,Normal,Yes,No,Yes,Friends,Yes,Maybe,Yes,No,No,6
,4th year,Good,82,Male,23,Department,Single,Yes,4,Normal,No,Yes,Yes,Family,Yes,No,Yes,No,No,7
,4th year,Very bad,12,Male,23,Department,Single,Yes,1,Normal,Yes,Yes,No,Friends,Yes,Yes,Neutral,No,No,6
,4th year,Good,73,Male,23,Home,Single,Yes,5,Normal,No,No,Yes,Family,Yes,No,Neutral,No,No,8
,4th year,Very bad,18,Male,23,Playground,Single,Yes,3,Normal,Yes,No,No,Family,Yes,No,Neutral,No,No,5
,4th year,Good,79,Male,23,Hall-Mess,Single,Yes,3,Good,No,No,Yes,Family,Yes,No,Yes,No,Yes,8
,4th year,Normal,56,Male,23,Home,Single,Yes,4,Normal,Yes,No,Yes,Family,Yes,Maybe,Neutral,No,Yes,7
,4th year,Very bad,11,Male,23,Hall-Mess,Single,No,2,Normal,Yes,Yes,No,Friends,Yes,No,Yes,No,No,7
,4th year,Good,74,Male,23,Hall-Mess,Single,Yes,5,Good,No,Yes,Yes,Friends,Yes,No,Neutral,No,No,9
,4th year,Very bad,6,Male,23,Hall-Mess,Single,Yes,1,Normal,Yes,No,Yes,Family,Yes,Yes,Yes,Yes,Yes,5
,4th year,Very bad,11,Male,23,Department,Single,Yes,1,Normal,Yes,Yes,Yes,Family,Yes,Yes,Yes,No,Yes,6
,4th year,Bad,35,Male,23,Home,Single,No,2,Good,Yes,No,Yes,Friends,Yes,Maybe,Yes,Yes,Yes,4
,4th year,Bad,37,Male,23,Home,Single,Yes,1,Good,Yes,No,No,Family,Yes,No,Yes,Yes,No,4
,4th year,Bad,31,Male,23,Playground,Single,No,2,Normal,Yes,No,No,Family,Yes,No,No,Yes,No,5
,4th year,Normal,59,Male,23,Playground,Single,No,5,Normal,No,Yes,Yes,Family,Yes,No,Yes,Yes,Yes,6
,4th year,Very bad,19,Male,23,Department,Single,Yes,2,Normal,Yes,Yes,Yes,Friends,Yes,Maybe,No,Yes,Yes,6
,4th year,Bad,21,Male,23,Hall-Mess,Single,No,1,Bad,Yes,No,No,Friends,Yes,No,Neutral,Yes,No,4
,4th year,Good,77,Male,23,Home,Single,Yes,5,Good,No,No,Yes,Family,Yes,No,Neutral,No,No,9
,4th year,Good,82,Male,23,Playground,Single,Yes,4,Normal,No,No,Yes,Family,Yes,No,Yes,No,Yes,8
,4th year,Bad,46,Male,23,Playground,Single,Yes,1,Good,Yes,Yes,Yes,Family,Yes,Maybe,Neutral,Yes,No,6
,4th year,Good,72,Male,23,Home,Single,Yes,3,Normal,No,No,Yes,Friends,Yes,No,Neutral,No,No,7
,4th year,Very good,95,Male,23,Hall-Mess,Single,Yes,5,Good,No,No,Yes,Friends,Yes,No,Yes,No,No,10
,4th year,Very good,95,Male,23,Hall-Mess,Single,Yes,4,Good,No,Yes,Yes,Family,Yes,No,Yes,No,No,8
,4th year,Bad,29,Male,23,Playground,Single,Yes,1,Normal,Yes,No,Yes,Family,Yes,Yes,No,Yes,No,4
,4th year,Very bad,9,Male,23,Playground,Single,No,3,Good,Yes,No,No,Friends,Yes,No,Neutral,No,No,6
,4th year,Bad,38,Male,23,Hall-Mess,Single,Yes,1,Good,Yes,Yes,No,Friends,Yes,Yes,Yes,Yes,Yes,3
,4th year,Very bad,3,Male,23,Hall-Mess,Single,No,2,Bad,Yes,Yes,Yes,Friends,Yes,No,No,Yes,Yes,4
,4th year,Bad,44,Male,23,Hall-Mess,Single,Yes,1,Normal,Yes,No,Yes,Family,Yes,Maybe,Yes,Yes,Yes,3
,4th year,Good,83,Male,23,Home,Single,Yes,3,Normal,No,No,Yes,Friends,Yes,No,Neutral,No,No,8
,4th year,Very good,94,Male,23,Playground,Single,Yes,3,Good,No,No,Yes,Friends,Yes,No,Yes,No,No,9
,4th year,Very bad,6,Male,23,Department,Single,No,1,Normal,Yes,No,No,Family,Yes,Yes,Neutral,Yes,Yes,6
,4th year,Good,82,Male,23,Home,Single,Yes,4,Good,No,Yes,Yes,Family,Yes,No,Neutral,No,No,9
,4th year,Bad,37,Male,23,Home,Single,Yes,1,Good,Yes,Yes,No,Friends,Yes,Maybe,Yes,No,No,7
,4th year,Very bad,4,Male,23,Playground,Single,No,1,Good,Yes,Yes,No,Family,Yes,Maybe,Yes,No,Yes,6
,4th year,Normal,53,Male,23,Department,Single,Yes,3,Good,Yes,Yes,Yes,Friends,Yes,No,Neutral,Yes,Yes,8
,4th year,Very bad,19,Male,23,Home,Single,No,1,Good,Yes,Yes,Yes,Family,Yes,Maybe,Yes,Yes,Yes,6
,4th year,Very good,99,Male,23,Hall-Mess,Single,Yes,4,Normal,No,No,Yes,Friends,Yes,No,Neutral,No,Yes,7
,4th year,Good,78,Male,23,Department,Single,Yes,3,Good,No,Yes,Yes,Family,Yes,No,Neutral,No,Yes,10
,4th year,Normal,54,Male,23,Playground,Single,Yes,3,Good,Yes,Yes,No,Friends,Yes,Maybe,Yes,No,Yes,6
,4th year,Very good,95,Male,23,Playground,Single,Yes,3,Good,No,Yes,Yes,Family,Yes,No,Neutral,No,Yes,7
,4th year,Bad,37,Male,23,Home,Single,No,1,Bad,Yes,Yes,Yes,Family,Yes,No,Yes,Yes,Yes,5
,4th year,Very good,94,Male,23,Playground,Single,Yes,5,Normal,No,No,Yes,Friends,Yes,No,Yes,No,No,10
,4th year,Very bad,13,Male,23,Home,Single,No,2,Normal,Yes,Yes,Yes,Friends,Yes,Yes,No,Yes,No,4
,4th year,Bad,33,Male,23,Hall-Mess,Single,Yes,2,Good,Yes,Yes,Yes,Friends,Yes,Yes,Neutral,No,Yes,4
,4th year,Bad,22,Male,23,Department,Single,No,1,Normal,Yes,No,No,Family,Yes,No,Neutral,No,No,4
,4th year,Very bad,2,Male,23,Home,Single,No,1,Normal,Yes,No,No,Family,Yes,No,No,Yes,No,3
,4th year,Normal,51,Male,23,Home,Single,No,3,Good,Yes,No,No,Family,Yes,No,Yes,No,Yes,7
,4th year,Very bad,16,Male,23,Home,Single,No,3,Bad,Yes,Yes,Yes,Family,Yes,Yes,Neutral,Yes,No,3
,4th year,Very bad,9,Male,23,Playground,Single,Yes,1,Normal,Yes,No,Yes,Friends,Yes,Maybe,Yes,Yes,Yes,7
,4th year,Bad,35,Male,23,Home,Single,Yes,2,Good,Yes,Yes,No,Friends,Yes,Maybe,Yes,No,No,6
,4th year,Bad,28,Male,23,Department,Single,Yes,3,Bad,Yes,No,Yes,Friends,Yes,No,Neutral,No,No,4
,4th year,Very good,95,Male,23,Department,Single,Yes,4,Good,No,Yes,Yes,Friends,Yes,No,Yes,No,No,9
,4th year,Very bad,8,Male,23,Home,Single,No,2,Bad,Yes,Yes,Yes,Friends,Yes,No,No,No,Yes,7
,1st year,Good,82,Male,20,Home,Single,Yes,3,Good,No,No,Yes,Family,Yes,No,Yes,No,Yes,7
,1st year,Good,70,Male,20,Hall-Mess,Single,Yes,4,Normal,No,No,Yes,Family,Yes,No,Yes,No,No,10
,1st year,Very good,91,Male,20,Hall-Mess,Single,Yes,5,Good,No,No,Yes,Friends,Yes,No,Yes,No,No,10
,1st year,Bad,27,Male,20,Playground,Single,No,1,Bad,Yes,No,Yes,Friends,Yes,Maybe,Yes,No,No,3
,1st year,Good,80,Male,20,Home,Single,Yes,3,Good,No,Yes,Yes,Friends,Yes,No,Neutral,No,Yes,10
,1st year,Very bad,14,Male,20,Hall-Mess,Single,No,1,Normal,Yes,Yes,No,Friends,Yes,Maybe,Yes,No,Yes,4
,1st year,Very good,94,Male,20,Playground,Single,Yes,4,Normal,No,No,Yes,Friends,Yes,No,Yes,No,Yes,9
